addressLine1,formattedAddress,city,state,zipCode,price,addressLine2,county,bedrooms,bathrooms,squareFootage,propertyType,createdDate,lastSeen,status,removedDate,listedDate,daysOnMarket,yearBuilt,id,latitude,longitude,lotSize
888 Biscayne Blvd,"888 Biscayne Blvd, Apt 812, Miami, FL 33132",Miami,FL,33132,4500,Apt 812,Miami-Dade,2.0,2.0,1327.0,Condo,2019-08-03T09:26:58.481Z,2023-06-12T00:00:00.000Z,Active,,2023-05-22T00:00:00.000Z,22,2008.0,"888-Biscayne-Blvd,-Apt-812,-Miami,-FL-33132",25.782486,-80.190067,
888 Biscayne Blvd,"888 Biscayne Blvd, Apt 5708, Miami, FL 33132",Miami,FL,33132,25000,Apt 5708,Miami-Dade,5.0,4.0,4498.0,Condo,2019-10-29T07:27:11.762Z,2023-06-12T00:00:00.000Z,Active,,2023-04-24T00:00:00.000Z,50,2008.0,"888-Biscayne-Blvd,-Apt-5708,-Miami,-FL-33132",25.782486,-80.190067,
8881 Sw 172nd Ave,"8881 Sw 172nd Ave, Miami, FL 33196",Miami,FL,33196,2091,,Miami-Dade,,,,Apartment,2019-10-21T18:56:55.175Z,2023-06-12T00:00:00.000Z,Active,,2022-12-22T00:00:00.000Z,173,2016.0,"8881-Sw-172nd-Ave,-Miami,-FL-33196",25.684503,-80.471052,
8933 Sw 123rd Ct,"8933 Sw 123rd Ct, Apt 408, Miami, FL 33186",Miami,FL,33186,2500,Apt 408,Miami-Dade,2.0,2.0,1200.0,Condo,2019-10-29T07:28:47.775Z,2023-06-12T00:00:00.000Z,Active,,2023-05-11T00:00:00.000Z,33,1987.0,"8933-Sw-123rd-Ct,-Apt-408,-Miami,-FL-33186",25.684326,-80.395204,
8960 Sw 122nd Ave,"8960 Sw 122nd Ave, Miami, FL 33186",Miami,FL,33186,1685,,Miami-Dade,,,,Apartment,2019-10-29T13:21:06.954Z,2023-06-12T00:00:00.000Z,Active,,2023-02-22T00:00:00.000Z,111,1989.0,"8960-Sw-122nd-Ave,-Miami,-FL-33186",25.68489,-80.39393,
90 Sw 3rd St,"90 Sw 3rd St, Apt 1615, Miami, FL 33130",Miami,FL,33130,3750,Apt 1615,Miami-Dade,2.0,2.0,1129.0,Condo,2019-10-25T11:54:10.603Z,2023-06-12T00:00:00.000Z,Active,,2023-06-02T00:00:00.000Z,11,2008.0,"90-Sw-3rd-St,-Apt-1615,-Miami,-FL-33130",25.77031,-80.195202,
90 Sw 3rd St,"90 Sw 3rd St, Apt 2508, Miami, FL 33130",Miami,FL,33130,3600,Apt 2508,Miami-Dade,2.0,2.0,1087.0,Condo,2019-08-03T09:48:59.238Z,2023-06-12T00:00:00.000Z,Active,,2023-06-06T00:00:00.000Z,7,2008.0,"90-Sw-3rd-St,-Apt-2508,-Miami,-FL-33130",25.77031,-80.195202,
90 Sw 3rd St,"90 Sw 3rd St, Apt 2013, Miami, FL 33130",Miami,FL,33130,4200,Apt 2013,Miami-Dade,2.0,2.5,1274.0,Condo,2019-08-25T02:16:23.459Z,2023-06-12T00:00:00.000Z,Active,,2023-05-03T00:00:00.000Z,41,2008.0,"90-Sw-3rd-St,-Apt-2013,-Miami,-FL-33130",25.77031,-80.195202,
90 Sw 3rd St,"90 Sw 3rd St, Apt 3004, Miami, FL 33130",Miami,FL,33130,5200,Apt 3004,Miami-Dade,2.0,2.5,1274.0,Condo,2019-09-25T05:09:57.374Z,2023-06-12T00:00:00.000Z,Active,,2023-05-08T00:00:00.000Z,36,2008.0,"90-Sw-3rd-St,-Apt-3004,-Miami,-FL-33130",25.77031,-80.195202,
900 Biscayne Blvd,"900 Biscayne Blvd, Apt 3309, Miami, FL 33132",Miami,FL,33132,6500,Apt 3309,Miami-Dade,2.0,3.0,1579.0,Condo,2019-08-25T01:31:28.745Z,2023-06-12T00:00:00.000Z,Active,,2023-05-19T00:00:00.000Z,25,2008.0,"900-Biscayne-Blvd,-Apt-3309,-Miami,-FL-33132",25.783418,-80.190087,
900 Brickell Key Blvd,"900 Brickell Key Blvd, Apt 2402, Miami, FL 33131",Miami,FL,33131,12500,Apt 2402,Miami-Dade,2.0,2.5,1572.0,Condo,2019-09-17T20:50:19.744Z,2023-06-12T00:00:00.000Z,Active,,2023-01-06T00:00:00.000Z,158,2008.0,"900-Brickell-Key-Blvd,-Apt-2402,-Miami,-FL-33131",25.768988,-80.185599,
900 Brickell Key Blvd,"900 Brickell Key Blvd, Apt 2805, Miami, FL 33131",Miami,FL,33131,7500,Apt 2805,Miami-Dade,2.0,2.5,1326.0,Condo,2019-08-25T01:53:13.886Z,2023-06-12T00:00:00.000Z,Active,,2023-03-28T00:00:00.000Z,77,2008.0,"900-Brickell-Key-Blvd,-Apt-2805,-Miami,-FL-33131",25.768988,-80.185599,
9000 Sw 97th Ave,"9000 Sw 97th Ave, Miami, FL 33176",Miami,FL,33176,2539,,Miami-Dade,,,,Apartment,2019-10-29T06:52:59.770Z,2023-06-12T00:00:00.000Z,Active,,2022-12-22T00:00:00.000Z,173,1974.0,"9000-Sw-97th-Ave,-Miami,-FL-33176",25.68501,-80.35177,
9052 Sw 142nd Ave,"9052 Sw 142nd Ave, Miami, FL 33186",Miami,FL,33186,1700,,Miami-Dade,,,,Apartment,2019-08-03T07:48:16.580Z,2023-06-12T00:00:00.000Z,Active,,2023-05-01T00:00:00.000Z,43,1987.0,"9052-Sw-142nd-Ave,-Miami,-FL-33186",25.68324,-80.42544,
910 Ne 81st St,"910 Ne 81st St, Unit Front, Miami, FL 33138",Miami,FL,33138,5000,Unit Front,Miami-Dade,3.0,2.0,1808.0,Single Family,2019-09-17T20:38:27.517Z,2023-06-12T00:00:00.000Z,Active,,2023-05-29T00:00:00.000Z,15,1949.0,"910-Ne-81st-St,-Unit-Front,-Miami,-FL-33138",25.849375,-80.177706,8840.0
